,id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
23,5dRCujBQZQq6dlkCaGDMV0,Better Dayz,2Pac,0.752,0.735,1,-3.851,1,0.196,0.0876,0.0,0.14,0.635,90.87,audio_features,5dRCujBQZQq6dlkCaGDMV0,spotify:track:5dRCujBQZQq6dlkCaGDMV0,https://api.spotify.com/v1/tracks/5dRCujBQZQq6dlkCaGDMV0,https://api.spotify.com/v1/audio-analysis/5dRCujBQZQq6dlkCaGDMV0,257627,4
24,5ByAIlEEnxYdvpnezg7HTX,Juicy - 2005 Remaster,The Notorious B.I.G.,0.889,0.816,9,-4.67,1,0.247,0.472,0.0,0.204,0.777,96.056,audio_features,5ByAIlEEnxYdvpnezg7HTX,spotify:track:5ByAIlEEnxYdvpnezg7HTX,https://api.spotify.com/v1/tracks/5ByAIlEEnxYdvpnezg7HTX,https://api.spotify.com/v1/audio-analysis/5ByAIlEEnxYdvpnezg7HTX,302693,4
25,0D8Npw3PzW1srmITkELL3s,Forgot About Dre,Dr. Dre,0.926,0.733,8,-1.294,1,0.0647,0.101,0.0,0.179,0.65,133.966,audio_features,0D8Npw3PzW1srmITkELL3s,spotify:track:0D8Npw3PzW1srmITkELL3s,https://api.spotify.com/v1/tracks/0D8Npw3PzW1srmITkELL3s,https://api.spotify.com/v1/audio-analysis/0D8Npw3PzW1srmITkELL3s,222333,4
26,7GkrhcYfflOImusWPIFrPN,What's The Difference,Dr. Dre,0.75,0.825,11,-0.15,0,0.269,0.25,0.0,0.195,0.764,92.028,audio_features,7GkrhcYfflOImusWPIFrPN,spotify:track:7GkrhcYfflOImusWPIFrPN,https://api.spotify.com/v1/tracks/7GkrhcYfflOImusWPIFrPN,https://api.spotify.com/v1/audio-analysis/7GkrhcYfflOImusWPIFrPN,244227,4
27,0Y1wsOHYGbNNNGeYjQJ8BL,Temperature's Rising (feat. Crystal Johnson),Mobb Deep,0.804,0.823,1,-5.422,0,0.256,0.0812,0.0,0.0794,0.719,87.322,audio_features,0Y1wsOHYGbNNNGeYjQJ8BL,spotify:track:0Y1wsOHYGbNNNGeYjQJ8BL,https://api.spotify.com/v1/tracks/0Y1wsOHYGbNNNGeYjQJ8BL,https://api.spotify.com/v1/audio-analysis/0Y1wsOHYGbNNNGeYjQJ8BL,300200,4
28,7iFWP73HKuL5xtR0GgU06r,Think Differently,Casual,0.678,0.815,1,-4.695,0,0.291,0.0478,0.0,0.165,0.606,169.367,audio_features,7iFWP73HKuL5xtR0GgU06r,spotify:track:7iFWP73HKuL5xtR0GgU06r,https://api.spotify.com/v1/tracks/7iFWP73HKuL5xtR0GgU06r,https://api.spotify.com/v1/audio-analysis/7iFWP73HKuL5xtR0GgU06r,274840,4
29,430TwEETfJUHGdslOabGoQ,Keep Ya Head Up,2Pac,0.572,0.745,4,-6.485,1,0.453,0.146,0.0,0.437,0.601,172.447,audio_features,430TwEETfJUHGdslOabGoQ,spotify:track:430TwEETfJUHGdslOabGoQ,https://api.spotify.com/v1/tracks/430TwEETfJUHGdslOabGoQ,https://api.spotify.com/v1/audio-analysis/430TwEETfJUHGdslOabGoQ,263600,4
30,2MQ51y5NhCyva4SgWmK2Me,Ghetto Gospel,2Pac,0.794,0.614,5,-5.352,0,0.0467,0.0964,0.0,0.0789,0.663,80.569,audio_features,2MQ51y5NhCyva4SgWmK2Me,spotify:track:2MQ51y5NhCyva4SgWmK2Me,https://api.spotify.com/v1/tracks/2MQ51y5NhCyva4SgWmK2Me,https://api.spotify.com/v1/audio-analysis/2MQ51y5NhCyva4SgWmK2Me,237633,4
31,4INDiWSKvqSKDEu7mh8HFz,Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster,The Notorious B.I.G.,0.845,0.884,6,-4.506,0,0.0759,0.0128,2.1e-06,0.203,0.904,104.536,audio_features,4INDiWSKvqSKDEu7mh8HFz,spotify:track:4INDiWSKvqSKDEu7mh8HFz,https://api.spotify.com/v1/tracks/4INDiWSKvqSKDEu7mh8HFz,https://api.spotify.com/v1/audio-analysis/4INDiWSKvqSKDEu7mh8HFz,257400,4
32,5XLC8xoqyua4U7wJiZAWik,Method Man,Wu-Tang Clan,0.903,0.519,7,-10.109,1,0.307,0.0286,0.000907,0.328,0.596,101.561,audio_features,5XLC8xoqyua4U7wJiZAWik,spotify:track:5XLC8xoqyua4U7wJiZAWik,https://api.spotify.com/v1/tracks/5XLC8xoqyua4U7wJiZAWik,https://api.spotify.com/v1/audio-analysis/5XLC8xoqyua4U7wJiZAWik,350560,4
33,3vvl9RFAVG43JZhFXKA8G1,Argentina,Homer El Mero Mero,0.628,0.761,1,-8.334,1,0.142,0.0868,2.51e-05,0.109,0.61,173.314,audio_features,3vvl9RFAVG43JZhFXKA8G1,spotify:track:3vvl9RFAVG43JZhFXKA8G1,https://api.spotify.com/v1/tracks/3vvl9RFAVG43JZhFXKA8G1,https://api.spotify.com/v1/audio-analysis/3vvl9RFAVG43JZhFXKA8G1,176308,3
34,0zUaNkEcOiAE4cE0V5sA9u,Para mi hermano,Homer El Mero Mero,0.872,0.72,4,-6.124,0,0.272,0.61,0.0,0.101,0.774,86.748,audio_features,0zUaNkEcOiAE4cE0V5sA9u,spotify:track:0zUaNkEcOiAE4cE0V5sA9u,https://api.spotify.com/v1/tracks/0zUaNkEcOiAE4cE0V5sA9u,https://api.spotify.com/v1/audio-analysis/0zUaNkEcOiAE4cE0V5sA9u,165517,4
35,1YHPxB0ELCqZZXl00dQkoh,7 Pakas,C.R.O,0.761,0.653,1,-7.982,0,0.362,0.414,0.0,0.197,0.535,87.033,audio_features,1YHPxB0ELCqZZXl00dQkoh,spotify:track:1YHPxB0ELCqZZXl00dQkoh,https://api.spotify.com/v1/tracks/1YHPxB0ELCqZZXl00dQkoh,https://api.spotify.com/v1/audio-analysis/1YHPxB0ELCqZZXl00dQkoh,200000,4
36,2aXljN9VzK4zFObtpqnAoL,Esperanza,Bardero$,0.563,0.832,1,-5.218,1,0.0879,0.229,0.000202,0.115,0.857,173.469,audio_features,2aXljN9VzK4zFObtpqnAoL,spotify:track:2aXljN9VzK4zFObtpqnAoL,https://api.spotify.com/v1/tracks/2aXljN9VzK4zFObtpqnAoL,https://api.spotify.com/v1/audio-analysis/2aXljN9VzK4zFObtpqnAoL,176774,4
37,4nH38LBCP7sCdIkv23jJwc,703,Bardero$,0.717,0.735,6,-1.639,0,0.0327,0.0513,0.000209,0.14,0.581,86.641,audio_features,4nH38LBCP7sCdIkv23jJwc,spotify:track:4nH38LBCP7sCdIkv23jJwc,https://api.spotify.com/v1/tracks/4nH38LBCP7sCdIkv23jJwc,https://api.spotify.com/v1/audio-analysis/4nH38LBCP7sCdIkv23jJwc,200046,4
38,5hl9wX67vKKzT2nBO0B2BE,El Mero Mero,Homer El Mero Mero,0.842,0.643,10,-6.385,0,0.207,0.301,0.000115,0.11,0.749,91.983,audio_features,5hl9wX67vKKzT2nBO0B2BE,spotify:track:5hl9wX67vKKzT2nBO0B2BE,https://api.spotify.com/v1/tracks/5hl9wX67vKKzT2nBO0B2BE,https://api.spotify.com/v1/audio-analysis/5hl9wX67vKKzT2nBO0B2BE,233000,4
39,2kd0T6zgABT8P0s2h9QU5O,Es Épico,Canserbero,0.665,0.816,0,-6.753,1,0.266,0.448,0.0,0.297,0.745,93.37,audio_features,2kd0T6zgABT8P0s2h9QU5O,spotify:track:2kd0T6zgABT8P0s2h9QU5O,https://api.spotify.com/v1/tracks/2kd0T6zgABT8P0s2h9QU5O,https://api.spotify.com/v1/audio-analysis/2kd0T6zgABT8P0s2h9QU5O,361979,4
40,0hI7haTwP7pek8WFQjDZoQ,22,Homer El Mero Mero,0.646,0.655,4,-7.012,0,0.0746,0.537,0.299,0.165,0.898,173.36,audio_features,0hI7haTwP7pek8WFQjDZoQ,spotify:track:0hI7haTwP7pek8WFQjDZoQ,https://api.spotify.com/v1/tracks/0hI7haTwP7pek8WFQjDZoQ,https://api.spotify.com/v1/audio-analysis/0hI7haTwP7pek8WFQjDZoQ,170998,4
41,4nGdVw9wXIeY4gOhsUNH1L,Basado en hechos reales,Homer El Mero Mero,0.706,0.863,5,-5.645,0,0.43,0.23,0.0,0.889,0.76,78.815,audio_features,4nGdVw9wXIeY4gOhsUNH1L,spotify:track:4nGdVw9wXIeY4gOhsUNH1L,https://api.spotify.com/v1/tracks/4nGdVw9wXIeY4gOhsUNH1L,https://api.spotify.com/v1/audio-analysis/4nGdVw9wXIeY4gOhsUNH1L,153313,4
42,1xJOSBzcxUWpe8E9M3QeRs,Libertad,Homer El Mero Mero,0.779,0.502,1,-9.976,0,0.259,0.531,0.0,0.07,0.747,86.625,audio_features,1xJOSBzcxUWpe8E9M3QeRs,spotify:track:1xJOSBzcxUWpe8E9M3QeRs,https://api.spotify.com/v1/tracks/1xJOSBzcxUWpe8E9M3QeRs,https://api.spotify.com/v1/audio-analysis/1xJOSBzcxUWpe8E9M3QeRs,212741,4
43,0Y3bl8IzUsGvccFu74OLPB,Trueno 24/Siempre,El Triangulo Estudio,0.679,0.705,2,-9.18,1,0.302,0.479,0.0,0.307,0.78,88.551,audio_features,0Y3bl8IzUsGvccFu74OLPB,spotify:track:0Y3bl8IzUsGvccFu74OLPB,https://api.spotify.com/v1/tracks/0Y3bl8IzUsGvccFu74OLPB,https://api.spotify.com/v1/audio-analysis/0Y3bl8IzUsGvccFu74OLPB,142106,4
44,5lF8ThrPDGmwyIuV5Y4PLG,Abril,Acru,0.489,0.806,5,-6.155,0,0.0572,0.198,0.0,0.228,0.557,120.914,audio_features,5lF8ThrPDGmwyIuV5Y4PLG,spotify:track:5lF8ThrPDGmwyIuV5Y4PLG,https://api.spotify.com/v1/tracks/5lF8ThrPDGmwyIuV5Y4PLG,https://api.spotify.com/v1/audio-analysis/5lF8ThrPDGmwyIuV5Y4PLG,225840,4
45,06b0Au6pvZiO03eKTCvgWh,ANIMAL,Acru,0.617,0.876,9,-4.86,1,0.304,0.16,3.3e-06,0.111,0.542,135.047,audio_features,06b0Au6pvZiO03eKTCvgWh,spotify:track:06b0Au6pvZiO03eKTCvgWh,https://api.spotify.com/v1/tracks/06b0Au6pvZiO03eKTCvgWh,https://api.spotify.com/v1/audio-analysis/06b0Au6pvZiO03eKTCvgWh,170982,4
46,1jKq6jcjPAd2awwuYiPswp,"DANI: Bzrp Freestyle Sessions, Vol. 7",Bizarrap,0.924,0.622,0,-6.824,1,0.233,0.0995,0.0,0.0971,0.74,130.063,audio_features,1jKq6jcjPAd2awwuYiPswp,spotify:track:1jKq6jcjPAd2awwuYiPswp,https://api.spotify.com/v1/tracks/1jKq6jcjPAd2awwuYiPswp,https://api.spotify.com/v1/audio-analysis/1jKq6jcjPAd2awwuYiPswp,137365,4
47,7d5cCdTZavXBFao9lCScjo,BigH,Homer El Mero Mero,0.611,0.74,7,-5.529,1,0.18,0.0605,0.0,0.255,0.619,173.366,audio_features,7d5cCdTZavXBFao9lCScjo,spotify:track:7d5cCdTZavXBFao9lCScjo,https://api.spotify.com/v1/tracks/7d5cCdTZavXBFao9lCScjo,https://api.spotify.com/v1/audio-analysis/7d5cCdTZavXBFao9lCScjo,198374,4
48,2pAQToHCsDf4UyCOv7l43P,Román,Acru,0.733,0.643,2,-6.184,1,0.281,0.0855,0.0,0.078,0.53,91.906,audio_features,2pAQToHCsDf4UyCOv7l43P,spotify:track:2pAQToHCsDf4UyCOv7l43P,https://api.spotify.com/v1/tracks/2pAQToHCsDf4UyCOv7l43P,https://api.spotify.com/v1/audio-analysis/2pAQToHCsDf4UyCOv7l43P,238154,4
49,04eL7Mun5wCThY3P37onK4,CANbiate,Canserbero,0.734,0.812,9,-4.856,0,0.314,0.193,0.0,0.0924,0.689,92.043,audio_features,04eL7Mun5wCThY3P37onK4,spotify:track:04eL7Mun5wCThY3P37onK4,https://api.spotify.com/v1/tracks/04eL7Mun5wCThY3P37onK4,https://api.spotify.com/v1/audio-analysis/04eL7Mun5wCThY3P37onK4,236304,4
50,7w7wTfCkR2ML44Z6Ingz9d,Gordo Ricardo,Homer El Mero Mero,0.605,0.669,6,-7.1,0,0.286,0.263,0.00987,0.329,0.812,80.034,audio_features,7w7wTfCkR2ML44Z6Ingz9d,spotify:track:7w7wTfCkR2ML44Z6Ingz9d,https://api.spotify.com/v1/tracks/7w7wTfCkR2ML44Z6Ingz9d,https://api.spotify.com/v1/audio-analysis/7w7wTfCkR2ML44Z6Ingz9d,172515,4
51,77E6BhaBLsIMmW5nAyXGTy,Como vas?,Kidd Keo,0.886,0.57,10,-7.841,1,0.175,0.0918,0.0,0.214,0.805,144.017,audio_features,77E6BhaBLsIMmW5nAyXGTy,spotify:track:77E6BhaBLsIMmW5nAyXGTy,https://api.spotify.com/v1/tracks/77E6BhaBLsIMmW5nAyXGTy,https://api.spotify.com/v1/audio-analysis/77E6BhaBLsIMmW5nAyXGTy,160266,4
52,49rFA0vfmY9Eel2cInKmTk,Atrevido,Trueno,0.864,0.64,8,-5.489,1,0.106,0.236,0.0,0.374,0.858,135.021,audio_features,49rFA0vfmY9Eel2cInKmTk,spotify:track:49rFA0vfmY9Eel2cInKmTk,https://api.spotify.com/v1/tracks/49rFA0vfmY9Eel2cInKmTk,https://api.spotify.com/v1/audio-analysis/49rFA0vfmY9Eel2cInKmTk,194748,4
53,7MCFjPDImfjQv7GynHgVrR,Colocao,Nicki Nicole,0.811,0.712,10,-3.773,0,0.054,0.28,0.0,0.106,0.576,90.02,audio_features,7MCFjPDImfjQv7GynHgVrR,spotify:track:7MCFjPDImfjQv7GynHgVrR,https://api.spotify.com/v1/tracks/7MCFjPDImfjQv7GynHgVrR,https://api.spotify.com/v1/audio-analysis/7MCFjPDImfjQv7GynHgVrR,179967,4
54,6suRRwX61xSMfU7wJuCVdy,For Reasons Unknown,The Killers,0.504,0.884,3,-4.214,1,0.0366,0.000458,0.0399,0.108,0.516,140.398,audio_features,6suRRwX61xSMfU7wJuCVdy,spotify:track:6suRRwX61xSMfU7wJuCVdy,https://api.spotify.com/v1/tracks/6suRRwX61xSMfU7wJuCVdy,https://api.spotify.com/v1/audio-analysis/6suRRwX61xSMfU7wJuCVdy,212267,4
